session_test_id,listening,experience,fuzz,comp,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
GCNTF,yes,yes,yes,yes,training,C1,100,1609,
GCNTF,yes,yes,yes,yes,training,C2,100,1609,
GCNTF,yes,yes,yes,yes,training,reference,100,1609,
GCNTF,yes,yes,yes,yes,training,C3,100,1609,
GCNTF,yes,yes,yes,yes,q3-comp250,C3,100,1261,
GCNTF,yes,yes,yes,yes,q3-comp250,C1,100,1261,
GCNTF,yes,yes,yes,yes,q3-comp250,C2,100,1261,
GCNTF,yes,yes,yes,yes,q3-comp250,C4,100,1261,
GCNTF,yes,yes,yes,yes,q3-comp250,reference,100,1261,
GCNTF,yes,yes,yes,yes,q3-comp250,C5,100,1261,
GCNTF,yes,yes,yes,yes,q4-comp2500,C3,100,2072,
GCNTF,yes,yes,yes,yes,q4-comp2500,C4,100,2072,
GCNTF,yes,yes,yes,yes,q4-comp2500,reference,100,2072,
GCNTF,yes,yes,yes,yes,q4-comp2500,C5,100,2072,
GCNTF,yes,yes,yes,yes,q4-comp2500,C1,100,2072,
GCNTF,yes,yes,yes,yes,q4-comp2500,C2,100,2072,
GCNTF,yes,yes,yes,yes,q6-la2a,C5,100,1067,
GCNTF,yes,yes,yes,yes,q6-la2a,C2,100,1067,
GCNTF,yes,yes,yes,yes,q6-la2a,C3,100,1067,
GCNTF,yes,yes,yes,yes,q6-la2a,C1,100,1067,
GCNTF,yes,yes,yes,yes,q6-la2a,reference,100,1067,
GCNTF,yes,yes,yes,yes,q6-la2a,C4,100,1067,
GCNTF,yes,yes,yes,yes,q5-mcomp1000,reference,100,770,
GCNTF,yes,yes,yes,yes,q5-mcomp1000,C2,100,770,
GCNTF,yes,yes,yes,yes,q5-mcomp1000,C5,100,770,
GCNTF,yes,yes,yes,yes,q5-mcomp1000,C1,100,770,
GCNTF,yes,yes,yes,yes,q5-mcomp1000,C4,100,770,
GCNTF,yes,yes,yes,yes,q5-mcomp1000,C3,100,770,
GCNTF,yes,yes,yes,yes,q2-fuzz2500,C2,100,780,
GCNTF,yes,yes,yes,yes,q2-fuzz2500,reference,100,780,
GCNTF,yes,yes,yes,yes,q2-fuzz2500,C4,100,780,
GCNTF,yes,yes,yes,yes,q2-fuzz2500,C3,100,780,
GCNTF,yes,yes,yes,yes,q2-fuzz2500,C1,100,780,
GCNTF,yes,yes,yes,yes,q2-fuzz2500,C5,100,780,
GCNTF,yes,yes,yes,yes,q1-fuzz250,C3,100,735,
GCNTF,yes,yes,yes,yes,q1-fuzz250,C2,100,735,
GCNTF,yes,yes,yes,yes,q1-fuzz250,C1,100,735,
GCNTF,yes,yes,yes,yes,q1-fuzz250,C5,100,735,
GCNTF,yes,yes,yes,yes,q1-fuzz250,reference,100,735,
GCNTF,yes,yes,yes,yes,q1-fuzz250,C4,100,735,
